AT2G38120	AUX1
AT5G01240	LAX1
AT2G21050	LAX2
AT1G77690	LAX3
AT1G73590	PIN1
AT5G57090	PIN2/EIR1
AT1G70940	PIN3
AT2G01420	PIN4
AT5G16530	PIN5
AT1G77110	PIN6
AT1G23080	PIN7
AT5G15100	PIN8
AT2G36910	ABCB1
AT2G47000	ABCB4
AT1G28010	ABCB14
AT3G28345	ABCB15
AT3G28860	ABCB19
AT3G62150	ABCB21
AT1G20925	PILS1
AT1G71090	PILS2
AT1G76520	PILS3
AT1G76530	PILS4
AT2G17500	PILS5
AT5G01990	PILS6
AT5G65980	PILS7
