AT2G28350	ARF10
AT2G46530	ARF11
AT1G34310	ARF12
AT1G34170	ARF13
AT1G35540	ARF14
AT1G35520	ARF15
AT4G30080	ARF16
AT1G77850	ARF17
AT3G61830	ARF18
AT1G19220	ARF19
AT5G62000	ARF2
AT1G35240	ARF20
AT1G34410	ARF21
AT1G34390	ARF22
AT1G43950	ARF23
AT2G33860	ARF3/ETT
AT5G60450	ARF4
AT1G19850	ARF5/MP
AT1G30330	ARF6
AT5G20730	ARF7/NPH4
AT5G37020	ARF8
AT4G23980	ARF9
